日付,件名,金額,通貨,カテゴリ,プロジェクト,Drive URL
2026-01-01,Your receipt from X #2320-4152-4342,918,JPY,X広告,AirCle/マーケ,"https://drive.google.com/file/d/1R8yE79nCldaIu9oSaWJ0eyRO5Xd5aJAL/view?usp=drivesdk
https://drive.google.com/file/d/1_v0Lf9AMDqp02Cfo6w6j99Kw6HPHHX5s/view?usp=drivesdk"
2026-01-04,Your receipt from X #2675-8080-6924,918,JPY,X広告,AirCle/マーケ,"https://drive.google.com/file/d/1JfEvGsbK4i4e9zF3kGfw_eqmXw9LhVgQ/view?usp=drivesdk
https://drive.google.com/file/d/1GVCGHMO87UVOuhJ3Ob9aXvadxKhPc80B/view?usp=drivesdk"
2026-01-07,【西日本シティ銀行】振込依頼処理完了のお知らせ,29,JPY,振込手数料,,
2026-01-07,【西日本シティ銀行】振込依頼処理完了のお知らせ,227,JPY,振込手数料,,
2026-01-07,【西日本シティ銀行】振込依頼処理完了のお知らせ,199,JPY,振込手数料,,
2026-01-07,【西日本シティ銀行】振込依頼処理完了のお知らせ,35,JPY,振込手数料,,
2026-01-07,Re: バーチャルオフィスプランご請求のご案内【バーチャルオフィス スタートアップ】,12100,JPY,事務所,AirCle,
2026-01-07,studio veco からの領収書 (領収書番号 2600-0795),5000,JPY,AI/SaaS,AirCle,"https://drive.google.com/file/d/10Ul6gbkKyEHtzJQefVDNEl7SRGu7ugME/view?usp=drivesdk
https://drive.google.com/file/d/1CrFBhkYDf7UbphWZq8GtHC1cxkRODwTn/view?usp=drivesdk"
2026-01-08,Canvaよりご請求内容のお知らせ,8300,JPY,AI/SaaS,AirCle,
2026-01-10,iMobie Inc. の領収書,6468,JPY,AI/SaaS,,https://drive.google.com/file/d/1NIZum4CAvRSK0XQQOpm_mbWXWsWwQbff/view?usp=drivesdk
2026-01-16,Aqua Voice からの領収書 (領収書番号 2569-4866),9,USD,AI/SaaS,AirCle,"https://drive.google.com/file/d/1glkGAwYrJNOBmtq9a-T23YCVaVQu5Bxz/view?usp=drivesdk
https://drive.google.com/file/d/1IDtHk2N9dTmC9BVxxF_XKKqObQm8gpmD/view?usp=drivesdk"
2026-01-26,【西日本シティ銀行】振込依頼処理完了のお知らせ,28,JPY,振込手数料,,
2026-01-26,【西日本シティ銀行】振込依頼処理完了のお知らせ,10,JPY,振込手数料,,
2026-01-28,お支払いが完了しました,54754,JPY,交通費,移動,
2026-01-28,【西日本シティ銀行】振込依頼処理完了のお知らせ,3,JPY,振込手数料,,
2026-01-28,【西日本シティ銀行】振込依頼処理完了のお知らせ,86,JPY,振込手数料,,
2026-01-28,【西日本シティ銀行】振込依頼処理完了のお知らせ,217,JPY,振込手数料,,
2026-01-30,studio veco からの領収書 (領収書番号 2621-1000),5000,JPY,AI/SaaS,AirCle,"https://drive.google.com/file/d/1ZYHmwQVlmWnwkBrVNHf_9EIYwLjHn9a_/view?usp=drivesdk
https://drive.google.com/file/d/1py2zpKwaSiO_uqKnYsDyUJioNM6o_KtG/view?usp=drivesdk"
2026-02-01,Your receipt from X #2954-8844-6226,918,JPY,X広告,AirCle/マーケ,"https://drive.google.com/file/d/1NPIGQP0ZxFcjOn98CBZfw0I6IEEqM1ex/view?usp=drivesdk
https://drive.google.com/file/d/1XVvtL-3tMEwIqZASCRufJk1MEKOASm3V/view?usp=drivesdk"
2026-02-04,MainFunc PTE. LTD. からの領収書 (領収書番号 2458-4720),314,JPY,AI/SaaS,,"https://drive.google.com/file/d/1ofeasiXEIq38ISD7LaxLdlQnifMMH9Ta/view?usp=drivesdk
https://drive.google.com/file/d/1RsPt8QQxzCsRJgBm9ZXXTeDry0yR0oaP/view?usp=drivesdk"
2026-02-04,Your receipt from X #2255-6359-5677,918,JPY,X広告,AirCle/マーケ,"https://drive.google.com/file/d/19rSXGIyG2jMfHIjrZSn6WFf43EHKbI6Z/view?usp=drivesdk
https://drive.google.com/file/d/1W5KH5sxuMdybtEWD7tUOwcunlvtu3TZA/view?usp=drivesdk"
