No.,名前,所属/役職,SNSアカウント,業界,AI活用法の概要,キーポイント,フォロワー数,ソース
1,池田朋弘,株式会社Workstyle Evolution CEO,@pop_ikeda,生成AIコンサルティング,ディープリサーチ機能で専属リサーチチーム級の調査・企画・文章作成,2025年は「AIエージェント元年」、個人でも10億円規模の売上が実現可能に,YouTube 17万人+,Salesforceブログ
2,川端康介,株式会社マテリアルデジタル 取締役,@nanocolorkwbt,デジタルマーケティング,マーケティングリサーチやデータ分析に生成AIを活用,顧客コミュニケーションを重視したクリエイティブ・マーケティング視点,-,Salesforceブログ
3,ヨビノリたくみ,教育系YouTuber,@yobinori,教育業界,機械学習・AIの数学入門コンテンツを提供,中学数学から始めるAIのための数学入門で100万人超の登録者を獲得,YouTube 100万人+,Salesforceブログ
4,三浦卓也,ECサイト運営者,-,EC業界,たった1人でECサイトを運営し年商1億円達成,個人での大規模EC運営をAIで実現する先駆者,-,Salesforceブログ
5,ムラマツヒデキ,デザインインフルエンサー,@murahideki,デザイン業界,SNSフォロワー約1.8万人でデザイン×AIを発信,デザイン業界でのAI活用のリアルな事例を発信,SNS 1.8万人,Salesforceブログ
6,新野俊幸,「EXIT」創業者,-,転職業界,日本初の退職代行サービスでAIを活用,転職・退職領域でのAI活用とビジネスモデル革新,-,Salesforceブログ
7,ハヤカワ五味,起業家・インフルエンサー,-,EC業界,10代で起業し多分野で活躍中,若年層の起業家としてAIをビジネスに組み込む,-,Salesforceブログ
8,堀元見,「ゆる言語学ラジオ」クリエイター,-,YouTube業界,教養コンテンツの制作にAIを活用,ゆる言語学ラジオなどでAIを活用したコンテンツ制作,-,Salesforceブログ
9,葛原祥太,「けテぶれ学習法」提唱者,-,教育業界,こどもたちが自ら学ぶ力をAIで育成,子どもの自学自習能力をAIで支援する方法を提唱,-,Salesforceブログ
10,もち,「Figmaのきほん」著者,@mochi_design,デザイン業界,普遍的に使えるデザインテクニック×AIを解説,FigmaとAIの組み合わせでデザイン効率化,-,Salesforceブログ
11,ぺんぎん薬剤師,現役薬剤師・SNS発信者,@pengin_pharm,調剤薬局業界,SNSでわかりやすく業界情報をAI活用で発信,医療・薬局業界でのAI活用と情報発信,-,Salesforceブログ
12,坂本良晶（さる先生）,ベストセラー作家,@saru_sensei,教育業界,教育コンテンツの制作にAIを活用,ベストセラー作家としてAIを活用した教育コンテンツ制作,-,Salesforceブログ
